Group,Landform/Region,Publication,Isotope,Sample_name,Scaling,Latitude_DD,Longitude_DD,Elevation_m,Pressure,Flag,Thickness,Density,Shielding,Erosion rate,10Be_Conc,10Be_standard,26Al_Conc,26Al_standard,Attenuation length,Depth to Top of Sample,Year Collected,Latitude_Uncertainty,Longitude_Uncertainty,Elevation_Uncertainty,Pressure_Uncertainty,Thickness_Uncertainty,Density_Uncertainty,Shielding_Uncertainty,Erosion_Uncertainty,10Be_Uncertainty,26Al_Uncertainty,Attenuation_Uncertainty,Depth_Uncertainty,Year_Uncertainty,SH_Mean,SH_SEM,SH_Sample_Name,CRONUS_Age_2020_03_27,CRONUS_Internal_2020_03_27,CRONUS_External_2020_03_27
Calibration dataset,Bassies,Crest et al. (2017),10Be,BA19,LM,42.751657,1.403577,1837,,Elevation,2.5,2.69,0.94,0,133600,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,8000,0,,,,55.37,0.76,,8.49,0.53014,0.87
Calibration dataset,Bassies,Crest et al. (2017),10Be,BA17,LM,42.753804,1.407713,1885,,Elevation,2.5,2.69,0.97,0,204400,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,18600,0,,,,51.9,0.9,,12.3,1.1136,1.5
Calibration dataset,Bassies,Crest et al. (2017),10Be,BA18,LM,42.754527,1.407939,1890,,Elevation,2.5,2.69,0.96,0,194700,NIST_27900,0,KNSTD,,0,2017,,,,,,,,,14300,0,,,,53.07,0.99,,11.8,0.86253,1.3
Calibration dataset,Querol,Pallàs et al. (2010),10Be,FUL03,LM,42.513352,1.824614,1476,,Elevation,4.3,2.69,0.94616,0,249200,NIST_Certified,0,KNSTD,,0,2010,,,,,,,,,42250,0,,,,42.9,0.99,,21.7,3.3785,3.7
Calibration dataset,Querol,Pallàs et al. (2010),10Be,LAT01,LM,42.469584,1.882155,1279,,Elevation,1.5,2.69,0.98082,0,225076,NIST_Certified,0,KNSTD,,0,2010,,,,,,,,,31530,0,,,,42.7,1.07,,21.5,2.7512,3.2
Calibration dataset,Querol,Pallàs et al. (2010),10Be,YRA21,LM,42.456259,1.889945,1341,,Elevation,2.5,2.69,0.99462,0,259263,NIST_Certified,0,KNSTD,,0,2010,,,,,,,,,33400,0,,,,39.97,0.94,,23.4,2.8108,3.3
Calibration dataset,Querol,Pallàs et al. (2010),10Be,YRA20,LM,42.45624,1.889848,1349,,Elevation,2.5,2.69,0.99462,0,268418,NIST_Certified,0,KNSTD,,0,2010,,,,,,,,,40900,0,,,,39.67,0.86,,24,3.3877,3.8
Calibration dataset,Querol,Pallàs et al. (2010),10Be,YRA19,LM,42.456313,1.88902,1354,,Elevation,2.5,2.69,0.99462,0,280154,NIST_Certified,0,KNSTD,,0,2010,,,,,,,,,33275,0,,,,38.9,0.94,,25,2.7151,3.3
Calibration dataset,Têt,Crest et al. (2017),10Be,CAC25,LM,42.610785,1.95287,2356,,Elevation,2.5,2.69,0.9,0,236400,NIST_27900,0,KNSTD,,0,2008,,,,,,,,,38500,0,,,,52.14,1.41,,11.1,1.8544,2.1
Calibration dataset,Têt,Crest et al. (2017),10Be,CAC26,LM,42.610785,1.95287,2357,,Elevation,2.5,2.69,0.77,0,223300,NIST_27900,0,KNSTD,,0,2008,,,,,,,,,27500,0,,,,49.51,1.38,,12.3,1.4984,1.8
