"Age","Uncertainty","Landform","Sigma"
23.5279842865191,1.62703044510437,"Arànser Left","2 sigma"
22.7628440459592,1.60370158184461,"Arànser Left","2 sigma"
23.3284257524093,0.835276875952495,"Arànser Left","2 sigma"
23.1435137706903,1.65724675633603,"Arànser Left","2 sigma"
22.8295532311348,1.31626548117802,"Arànser Left","2 sigma"
23.6322790440846,1.68885189300209,"Arànser Left","2 sigma"
23.8025252782255,1.74763515732214,"Arànser Left","2 sigma"
23.6644111885427,1.65255408615659,"Arànser Left","2 sigma"
22.9480316398256,1.65273553575528,"Arànser Left","2 sigma"
23.3342873080721,2.00699172953657,"Arànser Left","2 sigma"
23.5047066256803,1.45276017592295,"Arànser Left","2 sigma"
24.0538168121181,1.25757118263653,"Arànser Left","2 sigma"
23.9149879861503,1.64920932970879,"Arànser Left","2 sigma"
23.0269783473763,1.48240409420944,"Arànser Left","2 sigma"
22.0824050213841,0.804714946127571,"Arànser Left","2 sigma"
22.8223903513308,1.56918711403915,"Arànser Left","2 sigma"
22.2767862048169,1.34792901655738,"Arànser Left","2 sigma"
23.4705951679777,1.36411461450599,"Arànser Left","2 sigma"
23.8001799551218,1.43116067380549,"Arànser Left","2 sigma"
23.6062006178848,1.32902028287806,"Arànser Left","2 sigma"
23.2924094357411,1.50504549629067,"Arànser Left","2 sigma"
21.6893767942948,1.43436597240361,"Arànser Left","2 sigma"
23.4964112842833,1.7027522296877,"Arànser Left","2 sigma"
22.5054557168463,1.05533665783463,"Arànser Left","2 sigma"
23.6976822369439,1.07056833248391,"Arànser Left","2 sigma"
23.4172008921412,1.40509027012492,"Arànser Left","2 sigma"
23.1818499734864,1.51736008188618,"Arànser Left","2 sigma"
22.811311713601,1.27484258890317,"Arànser Left","2 sigma"
22.8005884997156,1.19593470047191,"Arànser Left","2 sigma"
22.9758077947363,1.75859143062886,"Arànser Left","2 sigma"
23.0595097670127,1.86526624110283,"Arànser Left","2 sigma"
23.192279471679,1.28219020711065,"Arànser Left","2 sigma"
23.3811220235728,1.81161712057958,"Arànser Left","2 sigma"
23.5395761626687,1.17996723430762,"Arànser Left","2 sigma"
23.3843454620271,1.41067915515313,"Arànser Left","2 sigma"
23.065629992138,1.55230803037257,"Arànser Left","2 sigma"
23.3016241251877,1.92119255074833,"Arànser Left","2 sigma"
22.7844604625368,1.31780798524331,"Arànser Left","2 sigma"
24.6154062492207,1.5763663078463,"Arànser Left","2 sigma"
23.8349509976638,1.36949236542156,"Arànser Left","2 sigma"
23.0451772468649,1.97704158662888,"Arànser Left","2 sigma"
22.6874960991059,0.980628852833395,"Arànser Left","2 sigma"
23.1470880421309,1.55406579459511,"Arànser Left","2 sigma"
22.8957187446587,1.11617835101368,"Arànser Left","2 sigma"
23.3189587501228,2.15579820385431,"Arànser Left","2 sigma"
23.255453923885,1.08679952256209,"Arànser Left","2 sigma"
23.0775919581863,0.52844411250418,"Arànser Left","2 sigma"
23.9711707645095,1.77938525381697,"Arànser Left","2 sigma"
23.8916320504879,1.32007043002625,"Arànser Left","2 sigma"
23.4176024505585,1.78040307820248,"Arànser Left","2 sigma"
23.0647222374671,1.47593004745879,"Arànser Left","2 sigma"
24.140519012506,0.866992996044159,"Arànser Left","2 sigma"
23.0720389450908,1.81848338599355,"Arànser Left","2 sigma"
23.3111803733068,1.65719763146388,"Arànser Left","2 sigma"
23.8024762477801,1.75123211777858,"Arànser Left","2 sigma"
23.6247763383426,1.54183623978507,"Arànser Left","2 sigma"
22.4906989538436,1.38411506518147,"Arànser Left","2 sigma"
22.8901693895941,1.18915179235943,"Arànser Left","2 sigma"
23.8672667856848,1.64394125094842,"Arànser Left","2 sigma"
23.3600832588745,1.34868140406062,"Arànser Left","2 sigma"
18.003334927864,1.3767517098288,"Arànser Left","2 sigma"
22.6009235979674,0.827798478453444,"Arànser Left","2 sigma"
23.4119777044574,0.457316384141097,"Arànser Left","2 sigma"
23.2781918003757,1.72705734383649,"Arànser Left","2 sigma"
23.6270381006191,0.646839802502991,"Arànser Left","2 sigma"
23.090723840509,1.24034208902197,"Arànser Left","2 sigma"
23.8375203774365,1.31496478946161,"Arànser Left","2 sigma"
21.8556372461349,0.862493783514237,"Arànser Left","2 sigma"
23.273507994127,1.43760679568187,"Arànser Left","2 sigma"
23.3453969514524,0.895220325234887,"Arànser Left","2 sigma"
23.3115637038243,0.761232885683938,"Arànser Left","2 sigma"
23.7597373825256,0.736809915642746,"Arànser Left","2 sigma"
23.7489042166001,0.625954998189207,"Arànser Left","2 sigma"
22.5699856015731,0.771167073382172,"Arànser Left","2 sigma"
23.1961658641812,1.66819566931943,"Arànser Left","2 sigma"
22.8577711381719,1.10430343489513,"Arànser Left","2 sigma"
23.1293759922814,0.683066356140941,"Arànser Left","2 sigma"
23.5020566093923,1.54493296677124,"Arànser Left","2 sigma"
23.1087465394804,1.44682591387717,"Arànser Left","2 sigma"
23.0513798037972,1.30735347101271,"Arànser Left","2 sigma"
23.4189368865795,1.37101779564963,"Arànser Left","2 sigma"
23.588694061654,1.15801154256204,"Arànser Left","2 sigma"
23.5040267565057,2.05491256522564,"Arànser Left","2 sigma"
23.5387398040803,1.84859775313343,"Arànser Left","2 sigma"
22.2731326365692,1.07413509936791,"Arànser Left","2 sigma"
23.3710869177499,1.55426444994933,"Arànser Left","2 sigma"
23.1371387161892,1.06525764627086,"Arànser Left","2 sigma"
23.6079108090792,1.3162375815579,"Arànser Left","2 sigma"
22.8751543071134,1.69109807505114,"Arànser Left","2 sigma"
22.7768244824918,1.11338753965578,"Arànser Left","2 sigma"
22.7931742526769,1.62840014266047,"Arànser Left","2 sigma"
23.6588808017721,0.828922618173133,"Arànser Left","2 sigma"
23.501744786979,1.38183022462007,"Arànser Left","2 sigma"
22.8620740079598,1.80665733578308,"Arànser Left","2 sigma"
22.3161637483927,1.8784793288004,"Arànser Left","2 sigma"
22.0288112973569,1.26288353050982,"Arànser Left","2 sigma"
23.3947688535038,1.76945409038219,"Arànser Left","2 sigma"
23.7352241057628,0.908796553302684,"Arànser Left","2 sigma"
22.4199554104272,1.46784538133932,"Arànser Left","2 sigma"
23.2406237700767,1.65261493692706,"Arànser Left","2 sigma"
22.2673390863721,1.47137302071995,"Arànser Left","2 sigma"
23.4695927038432,1.09326154027074,"Arànser Left","2 sigma"
23.0837695327565,1.48655529293665,"Arànser Left","2 sigma"
23.8064443789263,1.42569610701281,"Arànser Left","2 sigma"
24.0547341205485,1.14443770053693,"Arànser Left","2 sigma"
23.2840405821806,1.35464793836232,"Arànser Left","2 sigma"
24.1142170976012,1.34916599096366,"Arànser Left","2 sigma"
23.2223007709784,1.10291435721194,"Arànser Left","2 sigma"
