Age,Uncertainty,Landform,Sigma
12.41596331,0.476653321,Outer Pleta Naua,2 sigma
12.57684717,0.483230421,Outer Pleta Naua,2 sigma
12.63760893,0.235882708,Outer Pleta Naua,2 sigma
12.27541819,0.321858873,Outer Pleta Naua,2 sigma
12.58226838,0.444764876,Outer Pleta Naua,2 sigma
12.65413785,0.493703995,Outer Pleta Naua,2 sigma
12.45416974,0.419642372,Outer Pleta Naua,2 sigma
12.2573635,0.329620124,Outer Pleta Naua,2 sigma
12.36808393,0.618624338,Outer Pleta Naua,2 sigma
12.40372197,0.470513576,Outer Pleta Naua,2 sigma
12.61924984,0.39162276,Outer Pleta Naua,2 sigma
12.44559834,0.361325161,Outer Pleta Naua,2 sigma
12.33466366,0.343679136,Outer Pleta Naua,2 sigma
12.41296188,0.409389511,Outer Pleta Naua,2 sigma
12.74521025,0.362425416,Outer Pleta Naua,2 sigma
12.72235633,0.305844321,Outer Pleta Naua,2 sigma
12.68843978,0.373105703,Outer Pleta Naua,2 sigma
12.38021265,0.385145152,Outer Pleta Naua,2 sigma
12.23540707,0.48247861,Outer Pleta Naua,2 sigma
12.43409103,0.384536863,Outer Pleta Naua,2 sigma
12.83211667,0.102957923,Outer Pleta Naua,2 sigma
12.81011004,0.230989629,Outer Pleta Naua,2 sigma
12.16657944,0.297321166,Outer Pleta Naua,2 sigma
12.30808899,0.39978609,Outer Pleta Naua,2 sigma
12.82237074,0.09491575,Outer Pleta Naua,2 sigma
12.51195783,0.05285435,Outer Pleta Naua,2 sigma
12.91212638,0.132730022,Outer Pleta Naua,2 sigma
12.07524278,0.346796901,Outer Pleta Naua,2 sigma
12.53180036,0.265342563,Outer Pleta Naua,2 sigma
12.77622376,0.189936245,Outer Pleta Naua,2 sigma
12.4471185,0.542928358,Outer Pleta Naua,2 sigma
12.64500529,0.124547633,Outer Pleta Naua,2 sigma
12.54558415,0.296283002,Outer Pleta Naua,2 sigma
12.40294437,0.439718419,Outer Pleta Naua,2 sigma
12.12435787,0.244590466,Outer Pleta Naua,2 sigma
12.74896437,0.150400579,Outer Pleta Naua,2 sigma
12.59199106,0.406639078,Outer Pleta Naua,2 sigma
12.78342497,0.069855548,Outer Pleta Naua,2 sigma
12.65274338,0.311028059,Outer Pleta Naua,2 sigma
12.56549781,0.295551384,Outer Pleta Naua,2 sigma
12.59134255,0.05662923,Outer Pleta Naua,2 sigma
12.57579233,0.133474942,Outer Pleta Naua,2 sigma
12.49517255,0.337577004,Outer Pleta Naua,2 sigma
12.55896573,0.405838079,Outer Pleta Naua,2 sigma
12.71673267,0.17138457,Outer Pleta Naua,2 sigma
12.52198538,0.297980451,Outer Pleta Naua,2 sigma
12.46522036,0.415611679,Outer Pleta Naua,2 sigma
12.42185156,0.424972669,Outer Pleta Naua,2 sigma
12.61463702,0.471109125,Outer Pleta Naua,2 sigma
12.54733705,0.306393377,Outer Pleta Naua,2 sigma
12.47519051,0.373247339,Outer Pleta Naua,2 sigma
12.5030062,0.569007141,Outer Pleta Naua,2 sigma
12.25978119,0.128387202,Outer Pleta Naua,2 sigma
12.42655759,0.405995218,Outer Pleta Naua,2 sigma
12.55976461,0.345887401,Outer Pleta Naua,2 sigma
12.65479503,0.167658689,Outer Pleta Naua,2 sigma
12.66721385,0.402812031,Outer Pleta Naua,2 sigma
12.24348441,0.170285468,Outer Pleta Naua,2 sigma
12.61640271,0.200383605,Outer Pleta Naua,2 sigma
11.96461785,0.162730155,Outer Pleta Naua,2 sigma
12.71302258,0.172375857,Outer Pleta Naua,2 sigma
12.73145018,0.106703282,Outer Pleta Naua,2 sigma
12.33182455,0.479606893,Outer Pleta Naua,2 sigma
12.72350725,0.364280419,Outer Pleta Naua,2 sigma
12.53415917,0.345295532,Outer Pleta Naua,2 sigma
12.34542442,0.344085604,Outer Pleta Naua,2 sigma
12.28848409,0.385402629,Outer Pleta Naua,2 sigma
12.57055607,0.438478871,Outer Pleta Naua,2 sigma
12.517055,0.38944171,Outer Pleta Naua,2 sigma
