"Age","Uncertainty","Landform","Sigma"
22.0226830747041,1.41308547621023,"Arànser Right","1 sigma"
22.2600235686246,1.1785962325884,"Arànser Right","1 sigma"
22.2917660144354,1.12678937800852,"Arànser Right","1 sigma"
22.5494313735885,1.12328538749584,"Arànser Right","1 sigma"
22.2007271220287,1.20459738146821,"Arànser Right","1 sigma"
22.3326450160195,1.50619121914211,"Arànser Right","1 sigma"
21.8620631100225,1.32829588505945,"Arànser Right","1 sigma"
22.0552367306165,0.860907554093112,"Arànser Right","1 sigma"
21.9411933862494,1.4373059783876,"Arànser Right","1 sigma"
22.3687825085943,1.01767159183809,"Arànser Right","1 sigma"
22.1104973674856,1.27108305194631,"Arànser Right","1 sigma"
21.9455844587077,1.32836504716448,"Arànser Right","1 sigma"
20.5732740180696,1.4904199732933,"Arànser Right","1 sigma"
22.5708084798398,1.06768760281044,"Arànser Right","1 sigma"
22.4827990546295,0.892377328797994,"Arànser Right","1 sigma"
21.7176627524469,1.39081888548091,"Arànser Right","1 sigma"
22.4886326034736,1.23597664373169,"Arànser Right","1 sigma"
22.3210635669355,1.02591408957287,"Arànser Right","1 sigma"
22.6027518002596,1.00949021376683,"Arànser Right","1 sigma"
22.3499188505727,1.26404668006767,"Arànser Right","1 sigma"
22.3621563684529,1.12325347726021,"Arànser Right","1 sigma"
22.1463627797279,0.88074400391303,"Arànser Right","1 sigma"
22.2093538550775,0.923652766482197,"Arànser Right","1 sigma"
22.5684733975737,0.809637460059025,"Arànser Right","1 sigma"
22.1976441722649,1.06064321474627,"Arànser Right","1 sigma"
22.3382353334683,1.07753247087291,"Arànser Right","1 sigma"
22.3527061258571,1.09493951192087,"Arànser Right","1 sigma"
22.2114180610916,1.11465949641635,"Arànser Right","1 sigma"
22.3281982991747,0.852014497590841,"Arànser Right","1 sigma"
22.1810528106125,1.10874112085884,"Arànser Right","1 sigma"
22.2587989428099,1.42441598753614,"Arànser Right","1 sigma"
22.2226981428738,1.18260503496611,"Arànser Right","1 sigma"
22.1993623634703,1.07727793803093,"Arànser Right","1 sigma"
22.1329135919604,1.25982160014003,"Arànser Right","1 sigma"
21.9402907547774,1.07914392482637,"Arànser Right","1 sigma"
22.6732448932356,0.986390371166419,"Arànser Right","1 sigma"
21.9757442339212,1.2143641421983,"Arànser Right","1 sigma"
22.5441049101733,1.13231364899598,"Arànser Right","1 sigma"
22.4168300130176,1.32162496288828,"Arànser Right","1 sigma"
22.0514076682126,1.15778189891436,"Arànser Right","1 sigma"
21.287761142251,1.79413353217136,"Arànser Right","1 sigma"
22.2788774714529,1.26026964563928,"Arànser Right","1 sigma"
22.4122539745273,1.08384315721869,"Arànser Right","1 sigma"
22.3493347249173,1.50541614951926,"Arànser Right","1 sigma"
22.2006288844148,1.07146604713092,"Arànser Right","1 sigma"
22.3537197192393,1.29862711234494,"Arànser Right","1 sigma"
22.5480906856233,1.02533775222425,"Arànser Right","1 sigma"
21.8870731373126,1.33002355145952,"Arànser Right","1 sigma"
21.8622737524028,1.15424684408096,"Arànser Right","1 sigma"
18.9724511615257,1.54024805478015,"Arànser Right","1 sigma"
21.6282229169075,0.957034647765214,"Arànser Right","1 sigma"
22.0617777138604,1.2013354542405,"Arànser Right","1 sigma"
22.1380097138838,1.19716392401038,"Arànser Right","1 sigma"
22.0219300268335,1.05079141587739,"Arànser Right","1 sigma"
21.9382476590889,1.04263527346904,"Arànser Right","1 sigma"
21.6727429497872,1.50634522081568,"Arànser Right","1 sigma"
22.2930272825449,1.251372557763,"Arànser Right","1 sigma"
22.4161098391871,1.1139686056975,"Arànser Right","1 sigma"
21.6139442513476,1.40719769580651,"Arànser Right","1 sigma"
22.3712126888975,1.37023134887272,"Arànser Right","1 sigma"
22.1035389363269,1.5174317582857,"Arànser Right","1 sigma"
22.5516045821918,0.916882907544621,"Arànser Right","1 sigma"
22.0440292746665,1.32423605753846,"Arànser Right","1 sigma"
22.3301631238129,1.04923643641825,"Arànser Right","1 sigma"
21.7735630026028,1.50323460656147,"Arànser Right","1 sigma"
21.5400958262762,1.13727163046264,"Arànser Right","1 sigma"
22.3273497981667,0.862862692102533,"Arànser Right","1 sigma"
21.6378087529608,1.33514821019035,"Arànser Right","1 sigma"
22.3113982210571,1.03502050468675,"Arànser Right","1 sigma"
22.3099813641366,0.999653205997269,"Arànser Right","1 sigma"
22.2680726189684,1.01243634238213,"Arànser Right","1 sigma"
21.9975228282063,1.11272875011541,"Arànser Right","1 sigma"
22.3381158137974,1.0029191563174,"Arànser Right","1 sigma"
22.1885015794865,1.21941352050323,"Arànser Right","1 sigma"
