"Age","Uncertainty","Landform","Sigma"
3.92594560961276,0.662130716970365,"Tallada","2 sigma"
3.52104911059799,0.2805025879312,"Tallada","2 sigma"
2.9182145887772,0.384217851170584,"Tallada","2 sigma"
3.58422351926441,0.373634384337072,"Tallada","2 sigma"
2.76923344609421,0.289367096565697,"Tallada","2 sigma"
3.03101013408444,0.23785675139366,"Tallada","2 sigma"
4.0131356006835,0.538623131111274,"Tallada","2 sigma"
4.04530117157032,0.223616319972371,"Tallada","2 sigma"
3.48645570472645,0.489177691937623,"Tallada","2 sigma"
3.58732221405975,0.182449885985164,"Tallada","2 sigma"
5.14106850045441,0.221650855457077,"Tallada","2 sigma"
4.55295144842294,0.245468860308315,"Tallada","2 sigma"
3.02757957134672,0.183796575574146,"Tallada","2 sigma"
3.65388824747727,0.289642462329405,"Tallada","2 sigma"
3.15034713410437,0.324795016460352,"Tallada","2 sigma"
3.44197221928974,0.206311334585727,"Tallada","2 sigma"
4.54246245141275,0.156255308321234,"Tallada","2 sigma"
3.85432292594323,0.286386275462448,"Tallada","2 sigma"
4.03669343758439,0.760933799002446,"Tallada","2 sigma"
3.67331714383932,0.213114246667049,"Tallada","2 sigma"
3.66146794599316,0.169740232085004,"Tallada","2 sigma"
3.56798386521324,0.239048499882273,"Tallada","2 sigma"
3.61318680365313,0.290369939828569,"Tallada","2 sigma"
4.55347382144803,0.377843845617729,"Tallada","2 sigma"
3.56372935220554,0.423402565847737,"Tallada","2 sigma"
3.48315848717189,0.197150251589982,"Tallada","2 sigma"
4.52552105320865,0.350252605100727,"Tallada","2 sigma"
3.61047673924801,0.460791220875677,"Tallada","2 sigma"
3.72326416339128,0.434392817454399,"Tallada","2 sigma"
3.00920296039275,0.229252247830498,"Tallada","2 sigma"
4.76667871593594,0.413649761010564,"Tallada","2 sigma"
3.56356087247391,0.239623896373674,"Tallada","2 sigma"
3.70740335862527,0.254513196084824,"Tallada","2 sigma"
3.68703584918497,0.234226617150148,"Tallada","2 sigma"
3.66862383715327,0.356294752483742,"Tallada","2 sigma"
4.5644795719151,0.330397605484452,"Tallada","2 sigma"
3.70713079702776,0.283490227307776,"Tallada","2 sigma"
2.7480995954224,0.28472373108818,"Tallada","2 sigma"
3.54304070199866,0.274593562998872,"Tallada","2 sigma"
3.56491432789924,0.18959842443381,"Tallada","2 sigma"
3.50904813748274,0.39241990918797,"Tallada","2 sigma"
3.76239533541933,0.521796577763299,"Tallada","2 sigma"
3.96451858421851,0.633078877363016,"Tallada","2 sigma"
3.85063946544901,0.572569622166461,"Tallada","2 sigma"
3.21596424348189,0.545965961280629,"Tallada","2 sigma"
2.95696546379521,0.421424790854026,"Tallada","2 sigma"
3.66170746790437,0.21982828515828,"Tallada","2 sigma"
3.62967958862854,0.189237593483048,"Tallada","2 sigma"
3.11892805858156,0.258682810426295,"Tallada","2 sigma"
4.55183846292326,0.184072625261331,"Tallada","2 sigma"
3.65021429852255,0.185947267789766,"Tallada","2 sigma"
3.57956637413292,0.303390577858702,"Tallada","2 sigma"
3.08585635112455,0.187515727505785,"Tallada","2 sigma"
5.06289606559511,0.212490850459647,"Tallada","2 sigma"
3.85155133074397,0.314442254532877,"Tallada","2 sigma"
3.75252174036916,0.325033611614789,"Tallada","2 sigma"
2.98239895483122,0.31032204259411,"Tallada","2 sigma"
3.59742401412916,0.252370178820904,"Tallada","2 sigma"
3.06919493287876,0.266396609519723,"Tallada","2 sigma"
4.53432462679782,0.191767929854192,"Tallada","2 sigma"
3.52746498559734,0.39639717880142,"Tallada","2 sigma"
3.45556607343503,0.337041655301695,"Tallada","2 sigma"
3.03996567175283,0.217539258543414,"Tallada","2 sigma"
3.73623472711249,0.224393911956952,"Tallada","2 sigma"
3.61261151641016,0.300196341366148,"Tallada","2 sigma"
3.10208595266917,0.181426097532998,"Tallada","2 sigma"
3.01869226680245,0.213146745764878,"Tallada","2 sigma"
3.66727863096832,0.215530281072295,"Tallada","2 sigma"
3.53913520277703,0.200903354234345,"Tallada","2 sigma"
3.53394120812557,0.190174499216883,"Tallada","2 sigma"
3.53331474812219,0.204014763234078,"Tallada","2 sigma"
2.83918694168401,0.2499059515647,"Tallada","2 sigma"
3.50290558438228,0.606314181613124,"Tallada","2 sigma"
3.03375660158566,0.326927498267695,"Tallada","2 sigma"
2.73359650922919,0.305226483502509,"Tallada","2 sigma"
3.28372461681068,0.476717585099018,"Tallada","2 sigma"
2.88253637410132,0.212783970921526,"Tallada","2 sigma"
3.50755943403103,0.220367747829579,"Tallada","2 sigma"
3.69153996020194,0.280001543482869,"Tallada","2 sigma"
4.62711245310394,0.162751470122211,"Tallada","2 sigma"
3.27479847660371,0.432030294635293,"Tallada","2 sigma"
4.59232558161668,0.209496381824,"Tallada","2 sigma"
3.72567258915673,0.361194278376337,"Tallada","2 sigma"
4.5777226597538,0.241023114973709,"Tallada","2 sigma"
3.70527316430768,0.341322907759016,"Tallada","2 sigma"
2.89136866523855,0.36963013575436,"Tallada","2 sigma"
3.39687871962689,0.300257161540838,"Tallada","2 sigma"
3.56023609864297,0.284511510210804,"Tallada","2 sigma"
3.53741436981879,0.234519934690421,"Tallada","2 sigma"
4.05186273575886,0.193804984846273,"Tallada","2 sigma"
3.56770367476034,0.283844969655321,"Tallada","2 sigma"
3.81825215183135,0.401414316795657,"Tallada","2 sigma"
3.07459908726275,0.430127928978313,"Tallada","2 sigma"
3.56788067064243,0.204317808689589,"Tallada","2 sigma"
2.86680150748051,0.261270722031763,"Tallada","2 sigma"
3.55162203249351,0.246962564090422,"Tallada","2 sigma"
3.89775773310487,0.478948955268327,"Tallada","2 sigma"
3.07473240405076,0.178187800042326,"Tallada","2 sigma"
2.88956601632321,0.304841336736901,"Tallada","2 sigma"
3.79439252205417,0.298660614354969,"Tallada","2 sigma"
2.95047804045937,0.412983741408287,"Tallada","2 sigma"
3.66738249507604,0.333660773356868,"Tallada","2 sigma"
2.87674177160756,0.2926377777216,"Tallada","2 sigma"
3.70970910752568,0.280365339143524,"Tallada","2 sigma"
3.71804157067006,0.582620578302955,"Tallada","2 sigma"
3.65993373831803,1.00686005857957,"Tallada","2 sigma"
3.74422898777816,0.523551205616505,"Tallada","2 sigma"
3.64708218635508,0.213807611617887,"Tallada","2 sigma"
3.70021837725388,0.336170822711161,"Tallada","2 sigma"
3.5706578380766,0.231843020368212,"Tallada","2 sigma"
3.01028909802222,0.202670375303749,"Tallada","2 sigma"
3.01718744616297,0.297899562688802,"Tallada","2 sigma"
3.01647151360824,0.354497838032937,"Tallada","2 sigma"
3.54337609014072,0.398458670488988,"Tallada","2 sigma"
4.52894076204355,0.235130611900945,"Tallada","2 sigma"
3.53247445483753,0.239703540414935,"Tallada","2 sigma"
3.47644728420335,0.24678133304316,"Tallada","2 sigma"
2.98545913208594,0.285982001911731,"Tallada","2 sigma"
4.59587561656614,0.295526029473425,"Tallada","2 sigma"
3.47717878252164,0.333198861525782,"Tallada","2 sigma"
3.52513749708829,0.199399165099505,"Tallada","2 sigma"
2.82654676986261,0.222815782174872,"Tallada","2 sigma"
3.65176803103889,0.163008666531471,"Tallada","2 sigma"
3.46427626875158,0.370573275920385,"Tallada","2 sigma"
3.16621643083628,0.278587969959116,"Tallada","2 sigma"
3.5965985992313,0.218597531214034,"Tallada","2 sigma"
3.36275537663763,0.639470506867263,"Tallada","2 sigma"
3.66388733962087,0.216542471914325,"Tallada","2 sigma"
3.59775641437015,0.18507546922171,"Tallada","2 sigma"
3.55498955433917,0.18940892175242,"Tallada","2 sigma"
