Sample_name,Landform,Sub-Landform,Latitude_DD,Longitude_DD,Elevation_m,SH_Mean,SH_MAD,SH_SEM,TCN_Sample_Name,Calibrated_Age_ka,Calibrated_Uncertainty_ka,A_axis_cm,B_axis_cm,C_axis_cm,Ground_Height_cm,Volume_m3,Surface_area_m2,Sphericity,Mass_Tonnes,Landform_Age_ka,Landform_Uncertainty_ka,Relative_Difference_ka,Absolute_Difference_ka,Class_95,General_Class_95,Moraine_Group,AB_Ratio,AC_Ratio,Moss,Lichen,Embedded,Angularity,Fractured,Matrix,Crest_polyline_dist_m,Crest_polygon_dist_m,Front_Dist_m,Slope_Angle_deg
ARR-23,Arànser Right,,42.423278,1.640686,1905,41.93333333,2.933333333,0.685893983,,21.859,1.678,205,115,115,115,2.711125,12.075,0.778687757,7.29292625,21.9616,0.9748,0.1026,0.1026,,,C,1.782608696,0.56097561,0.2,1,0,SR,0.25,0,2.110264442,0,813.51953,13.15002
ARR-24,Arànser Right,,42.422808,1.642094,1892,47.63333333,3.833333333,0.838803819,,16.276,1.675,95,65,50,50,0.30875,2.835,0.779236055,0.8305375,21.9616,0.9748,5.6856,5.6856,,,C,1.461538462,0.526315789,0.2,1,0,SR,0.25,0,1.840600154,0,687.07879,12.16745
ARR-25,Arànser Right,,42.422682,1.642838,1885,48.3,3.253333333,0.712262717,,15.667,1.675,110,70,50,50,0.385,3.34,0.766263509,1.03565,21.9616,0.9748,6.2946,6.2946,,,C,1.571428571,0.454545455,0.2,1,0,SR,0.25,0,1.07545846,0,624.51849,7.9997
ARR-26,Arànser Right,,42.42259,1.643436,1876,44.53333333,3.8,0.839142543,,19.224,1.675,170,85,50,50,0.7225,5.44,0.715775989,1.943525,21.9616,0.9748,2.7376,2.7376,,,C,2,0.294117647,0.4,1,0,SR,0.25,0,0.970325493,0,574.66633,10.74627
ARR-27,Arànser Right,,42.422329,1.644195,1867,44.66666667,3.555555556,0.775207084,,19.093,1.675,190,130,105,105,2.5935,11.66,0.782906218,6.976515,21.9616,0.9748,2.8686,2.8686,,,C,1.461538462,0.552631579,0.2,1,0,SR,0.5,0.5,9.875036691,0,506.17565,20.05083
ARR-28,Arànser Right,,42.422235,1.6454,1859,43.46666667,4.137777778,0.913097091,,20.286,1.676,235,150,140,140,4.935,17.83,0.786184033,13.27515,21.9616,0.9748,1.6756,1.6756,,,C,1.566666667,0.595744681,0.4,1,0,SR,0.25,0,2.308959853,0,409.2688,4.73309
ARR-29,Arànser Right,,42.422241,1.645874,1854,43.03333333,4.233333333,0.879811624,,20.725,1.676,185,120,100,100,2.22,10.54,0.780810233,5.9718,21.9616,0.9748,1.2366,1.2366,,,C,1.541666667,0.540540541,0.2,1,0,SR,0.25,0,4.043624246,0,373.43889,14.87238
ARR-30,Arànser Right,,42.422088,1.64668,1845,41.73333333,3.484444444,0.774620324,,22.069,1.679,120,80,70,70,0.672,4.72,0.786058692,1.80768,21.9616,0.9748,-0.1074,0.1074,,,C,1.5,0.583333333,0.2,1,0,SR,0.25,0,0.905902942,0,306.08613,10.96282
ARR-31,Arànser Right,,42.421792,1.6475,1831,50.23333333,4.617777778,1.021170467,,13.948,1.678,170,140,70,70,1.666,9.1,0.746837409,4.48154,21.9616,0.9748,8.0136,8.0136,,,C,1.214285714,0.411764706,0.6,1,0.4,SR,0.25,0,1.702050821,0,230.93684,13.64736
ARR-32,Arànser Right,,42.422069,1.648151,1816,61.73333333,3.635555556,0.796327979,,4.917,1.713,125,110,70,70,0.9625,6.04,0.780514564,2.589125,21.9616,0.9748,17.0446,17.0446,,,IS,1.136363636,0.56,0.2,1,0,SR,0.25,0,46.50701699,41.96745186,202.36612,11.09979
ARR-33,Arànser Right,,42.422366,1.64733,1825,42.26666667,3.071111111,0.783375573,,21.512,1.678,130,110,75,75,1.0725,6.46,0.784361871,2.885025,21.9616,0.9748,0.4496,0.4496,,,IS,1.181818182,0.576923077,0.2,1,0,SA,0.25,0,49.42237815,40.56193639,275.88108,22.19087
ARR-34,Arànser Right,,42.422271,1.64687,1838,42.56666667,3.204444444,0.739715596,,21.202,1.677,170,145,120,120,2.958,12.49,0.797848561,7.95702,21.9616,0.9748,0.7596,0.7596,,,IS,1.172413793,0.705882353,0.6,1,0,SR,0.25,0,24.68188923,17.16386927,301.72986,18.50484
ARR-35,Arànser Right,,42.422326,1.646273,1847,46.2,3.52,0.773837286,,17.614,1.674,160,95,70,70,1.064,6.61,0.762506851,2.86216,21.9616,0.9748,4.3476,4.3476,,,IS,1.684210526,0.4375,0.2,1,0.2,SR,0.25,0,20.70742458,12.81648401,347.8044,21.00872
ARR-36,Arànser Right,,42.422463,1.645602,1850,42.76666667,4.248888889,0.954426316,,20.997,1.677,100,70,70,70,0.49,3.78,0.795163393,1.3181,21.9616,0.9748,0.9646,0.9646,,,IS,1.428571429,0.7,0.8,1,0.2,SR,0.25,0,25.24364637,20.03051221,404.05188,21.14222
ARR-37,Arànser Right,,42.422525,1.644762,1858,41.76666667,2.966666667,0.711517561,,22.034,1.679,160,145,95,95,2.204,10.435,0.784873015,5.92876,21.9616,0.9748,-0.0724,0.0724,,,IS,1.103448276,0.59375,0.4,1,0.4,SA,0.25,0,19.94284309,16.3598072,470.02263,23.07918
ARR-38,Arànser Right,,42.422731,1.643894,1864,55.56666667,4.557777778,0.97562878,,9.528,1.69,135,115,70,70,1.08675,6.605,0.773922967,2.9233575,21.9616,0.9748,12.4336,12.4336,,,IS,1.173913043,0.518518519,0.4,1,0.2,SR,0.25,0,27.25632918,19.57579616,544.75683,20.52238
ARR-39,Arànser Right,,42.422909,1.642979,1876,41.46666667,3.8,0.811598055,,22.349,1.679,95,105,65,105,0.648375,4.595,0.788405144,1.74412875,21.9616,0.9748,-0.3874,0.3874,,,IS,0.904761905,0.684210526,0.2,1,0,SR,0.5,0,25.0858502,21.37621867,622.12104,22.11454
ARR-40,Arànser Right,,42.423022,1.641919,1887,40.53333333,2.831111111,0.608247071,,23.347,1.682,170,140,100,100,2.38,10.96,0.786547355,6.4022,21.9616,0.9748,-1.3854,1.3854,,,IS,1.214285714,0.588235294,0.2,1,0.2,SR,0.25,0,20.84330527,16.89732344,708.33717,23.29386
ARR-41,Arànser Right,,42.423446,1.641144,1891,57.66666667,3.911111111,0.91384373,,7.903,1.697,145,95,95,95,1.308625,7.315,0.790945578,3.52020125,21.9616,0.9748,14.0586,14.0586,,,IS,1.526315789,0.655172414,0.6,1,0.4,SR,0.25,0,36.81239383,32.73465375,784.46444,24.09224
ARR-42,Arànser Right,,42.423738,1.639995,1905,42.73333333,4.666666667,1.023672,,21.031,1.677,90,70,40,40,0.252,2.54,0.759598506,0.67788,21.9616,0.9748,0.9306,0.9306,,,IS,1.285714286,0.444444444,0.4,1,0,SA,0.25,0,22.2813433,17.13256384,884.38527,20.28111
ARR-43,Arànser Right,,42.424184,1.638891,1910,42,3.533333333,0.771778031,,21.79,1.678,170,170,140,140,4.046,15.3,0.802558341,10.88374,21.9616,0.9748,0.1716,0.1716,,,IS,1,0.823529412,0.2,1,0.4,SR,0.25,0,16.42885196,9.364856437,987.01503,19.80996
ARR-44,Arànser Right,,42.424688,1.638078,1914,41.96666667,3.695555556,0.779812387,,21.824,1.678,160,90,50,50,0.72,5.38,0.722088087,1.9368,21.9616,0.9748,0.1376,0.1376,,,IS,1.777777778,0.3125,0.8,1,0.4,SR,0.25,0,24.16248918,18.77258755,1070.22826,21.56658
ARR-45,Arànser Right,,42.42509,1.637049,1920,45.4,4.24,0.936289772,,18.38,1.674,100,75,65,65,0.4875,3.775,0.793506061,1.311375,21.9616,0.9748,3.5816,3.5816,,,IS,1.333333333,0.65,0.2,1,0.4,SR,0.25,0,23.60834038,18.04705715,1165.73568,22.5924
ARR-46,Arànser Right,,42.425621,1.636283,1920,47.3,3.693333333,0.883250248,,16.584,1.675,150,110,60,60,0.99,6.42,0.748237079,2.6631,21.9616,0.9748,5.3776,5.3776,,,IS,1.363636364,0.4,0.8,1,0.4,SR,0.5,0,36.55435363,30.66779186,1247.3698,26.0853
ARR-47,Arànser Right,,42.425938,1.635669,1927,41.53333333,3.84,0.852581145,,22.279,1.679,155,140,85,85,1.8445,9.355,0.777486349,4.961705,21.9616,0.9748,-0.3174,0.3174,,,IS,1.107142857,0.548387097,0.4,1,0.2,SR,0.25,0,37.14973817,31.32152146,1308.11023,24.73366
ARR-48,Arànser Right,,42.426164,1.634983,1940,41.93333333,3.275555556,0.726145,,21.859,1.678,165,90,40,40,0.594,5.01,0.682083214,1.59786,21.9616,0.9748,0.1026,0.1026,,,IS,1.833333333,0.242424242,0.4,1,0.4,SA,0.25,0,22.89994226,16.6598673,1369.85036,23.30303
ARR-49,Arànser Right,,42.426838,1.634057,1947,41.23333333,3.284444444,0.70670851,,22.597,1.68,165,105,80,80,1.386,7.785,0.772208055,3.72834,21.9616,0.9748,-0.6354,0.6354,,,IS,1.571428571,0.484848485,0.4,1,0.4,SR,0.25,0,38.44167884,33.53596553,1471.13924,25.28597
ARR-50,Arànser Right,,42.427322,1.633183,1961,41.56666667,3.5,0.79023802,,22.244,1.679,135,105,55,55,0.779625,5.475,0.74821057,2.09719125,21.9616,0.9748,-0.2824,0.2824,,,IS,1.285714286,0.407407407,0.2,1,0,A,0.25,0,42.84112276,36.64030117,1559.63311,25.75385
ARR-51,Arànser Right,,42.427556,1.6324,1979,52.93333333,4.008888889,0.922016848,,11.654,1.683,140,110,75,75,1.155,6.83,0.779443687,3.10695,21.9616,0.9748,10.3076,10.3076,,,IS,1.272727273,0.535714286,0.4,1,0.2,SR,0.25,0,28.32468116,20.2856251,1628.83085,21.60189
ARR-52,Arànser Right,,42.427974,1.631905,1982,43,2.933333333,0.705608532,,20.759,1.676,120,70,70,70,0.588,4.34,0.782070574,1.58172,21.9616,0.9748,1.2026,1.2026,,,IS,1.714285714,0.583333333,0.2,1,0,SA,0.25,0,47.4211266,41.51317674,1686.35094,13.95323
ARR-53,Arànser Right,,42.428161,1.631025,1994,42.2,2.626666667,0.64218537,,21.581,1.678,95,90,40,40,0.342,3.19,0.741385655,0.91998,21.9616,0.9748,0.3806,0.3806,,,IS,1.055555556,0.421052632,0.2,1,0,SR,0,0,30.75673816,23.41265107,1760.15567,20.6373
ARR-54,Arànser Right,,42.428512,1.630252,1992,42.16666667,4.3,0.912287543,,21.616,1.678,185,115,110,110,2.34025,10.855,0.78528831,6.2952725,21.9616,0.9748,0.3456,0.3456,,,IS,1.608695652,0.594594595,0.6,1,0.4,SR,0.25,0,25.006271,18.20720676,1834.60607,19.78563
ARR-55,Arànser Right,,42.428103,1.629933,1993,49.3,4.5,0.965635279,,14.769,1.676,145,90,85,90,1.10925,6.605,0.784568608,2.9838825,21.9616,0.9748,7.1926,7.1926,,,OS,1.611111111,0.586206897,0.2,1,0,SA,0.25,0,26.48745848,16.85512248,1837.72955,22.98556
ARR-56,Arànser Right,,42.427518,1.630711,1989,45.8,3.613333333,0.844094873,,17.995,1.674,180,120,90,90,1.944,9.72,0.774964901,5.22936,21.9616,0.9748,3.9666,3.9666,,,OS,1.5,0.5,0.2,1,0.4,SR,0.25,0,44.48046723,36.8346811,1752.01975,23.36103
ARR-57,Arànser Right,,42.427346,1.631371,1985,48.43333333,4.404444444,0.946052594,,15.546,1.676,115,80,80,80,0.736,4.96,0.794793532,1.97984,21.9616,0.9748,6.4156,6.4156,,,OS,1.4375,0.695652174,0.2,1,0.2,SA,0.25,0,34.88622625,26.94410259,1694.68634,24.33139
ARR-58,Arànser Right,,42.426868,1.632063,1970,41.86666667,4.342222222,0.929139936,,21.929,1.678,60,50,45,45,0.135,1.59,0.800404483,0.36315,21.9616,0.9748,0.0326,0.0326,,,OS,1.2,0.75,0.2,1,0,SA,0.25,0,50.91762333,41.72606496,1620.87745,9.31259
ARR-59,Arànser Right,,42.426625,1.632809,1959,49.86666667,4.2,0.884000664,,14.269,1.677,90,45,40,40,0.162,1.89,0.76038288,0.43578,21.9616,0.9748,7.6926,7.6926,,,OS,2,0.444444444,0.2,1,0,A,0.25,0,37.89002522,28.84767193,1553.74354,22.81254
ARR-60,Arànser Right,,42.426264,1.633498,1947,64.36666667,2.542222222,0.540462,,3.088,1.724,70,60,40,40,0.168,1.88,0.783187588,0.45192,21.9616,0.9748,18.8736,18.8736,,,OS,1.166666667,0.571428571,0.2,0,0,A,0.25,0,40.03205902,33.33256602,1485.6871,18.83553
ARR-61,Arànser Right,,42.425786,1.634201,1933,47.6,3.506666667,0.748752529,,16.307,1.675,80,60,55,60,0.264,2.5,0.796061707,0.71016,21.9616,0.9748,5.6546,5.6546,,,OS,1.333333333,0.6875,0.2,0,0,SR,0.25,0.5,49.34521755,43.1443918,1411.60687,13.72621
ARR-62,Arànser Right,,42.425575,1.634643,1928,40.93333333,2.804444444,0.625204086,,22.916,1.68,70,70,40,40,0.196,2.1,0.777025988,0.52724,21.9616,0.9748,-0.9544,0.9544,,,OS,1,0.571428571,0.2,1,0,SA,0.25,0,45.98962121,39.17939952,1369.02889,17.61924
ARR-63,Arànser Right,,42.425375,1.635231,1928,40.93333333,3.937777778,0.859486183,,22.916,1.68,100,70,65,65,0.455,3.61,0.792473084,1.22395,21.9616,0.9748,-0.9544,0.9544,,,OS,1.428571429,0.65,0.4,1,0.4,SR,0.25,0,34.78102718,29.09873661,1315.83796,23.33519
ARR-64,Arànser Right,,42.424995,1.635884,1918,56.5,4.366666667,0.972205101,,8.798,1.693,130,70,55,55,0.5005,4.02,0.758334462,1.346345,21.9616,0.9748,13.1636,13.1636,,,OS,1.857142857,0.423076923,0.2,1,0.6,SR,0.25,0,39.60072077,33.71781742,1250.33502,23.00489
ARR-65,Arànser Right,,42.424759,1.636509,1918,54.16666667,3.388888889,0.764502179,,10.645,1.686,140,85,60,60,0.714,5.08,0.760476655,1.92066,21.9616,0.9748,11.3166,11.3166,,,OS,1.647058824,0.428571429,0.2,1,0.2,SA,0.25,0.5,30.65008096,24.75751616,1192.90731,23.99467
ARR-66,Arànser Right,,42.424442,1.637063,1912,54.13333333,3.742222222,0.82686108,,10.672,1.686,150,95,50,50,0.7125,5.3,0.72788846,1.916625,21.9616,0.9748,11.2896,11.2896,,,OS,1.578947368,0.333333333,0.4,1,0,SA,0.25,0,38.70265423,33.4880289,1137.80828,21.78867
ARR-67,Arànser Right,,42.424135,1.637774,1906,42.16666667,3.588888889,0.773371982,,21.616,1.678,190,110,100,100,2.09,10.18,0.77654603,5.6221,21.9616,0.9748,0.3456,0.3456,,,OS,1.727272727,0.526315789,0.2,1,0.4,SA,0.5,0,41.59000555,37.35350249,1071.13342,24.98927
ARR-68,Arànser Right,,42.423792,1.638462,1899,42.73333333,3.417777778,0.732379902,,21.031,1.677,70,60,50,50,0.21,2.14,0.798392682,0.5649,21.9616,0.9748,0.9306,0.9306,,,OS,1.166666667,0.714285714,0.4,1,0,SA,0,0,39.45715946,32.85409047,1005.13887,23.94161
ARR-69,Arànser Right,,42.423564,1.639014,1898,56.6,2.853333333,0.670247552,,8.721,1.694,120,80,75,75,0.72,4.92,0.789600387,1.9368,21.9616,0.9748,13.2406,13.2406,,,OS,1.5,0.625,0.2,1,0,SA,0.25,0,36.43009968,29.69607594,954.06418,28.08536
ARR-70,Arànser Right,,42.423249,1.63975,1895,42.23333333,3.746666667,0.815719346,,21.547,1.678,205,115,65,65,1.532375,8.875,0.724256611,4.12208875,21.9616,0.9748,0.4146,0.4146,,,OS,1.782608696,0.317073171,0.2,1,0.6,SA,0.5,0,35.51665935,28.96389933,885.71473,25.22676
ARR-71,Arànser Right,,42.423084,1.640252,1896,54.56666667,2.728888889,0.660136799,,10.323,1.687,155,80,50,50,0.62,4.83,0.728000124,1.6678,21.9616,0.9748,11.6386,11.6386,,,OS,1.9375,0.322580645,0.2,1,0.2,SR,0.5,0,34.10997206,28.87790072,840.85037,26.13941
ARR-72,Arànser Right,,42.422785,1.640867,1886,41.26666667,3.835555556,0.828509127,,22.561,1.68,225,270,80,80,4.86,20.07,0.691344106,13.0734,21.9616,0.9748,-0.5994,0.5994,,,OS,0.833333333,0.355555556,0.2,1,0.2,SR,0.5,0,38.18356562,29.54397925,783.0559,26.55949
ARR-73,Arànser Right,,42.422454,1.64181,1877,48,4.333333333,0.914672613,,15.94,1.675,145,80,40,40,0.464,4.12,0.703502366,1.24816,21.9616,0.9748,6.0216,6.0216,,,OS,1.8125,0.275862069,0.2,1,0,SA,0.25,0,42.41149009,36.01971709,698.58309,26.13161
ARR-74,Arànser Right,,42.422453,1.642527,1878,51.2,4.133333333,0.912682028,,13.113,1.679,95,75,60,60,0.4275,3.465,0.792023921,1.149975,21.9616,0.9748,8.8486,8.8486,,,OS,1.266666667,0.631578947,0.2,1,0.6,SR,0.75,0,29.75592328,20.45832697,641.5446,25.0608
ARR-75,Arànser Right,,42.422193,1.643359,1861,41.8,3.173333333,0.707860309,,21.999,1.678,120,90,45,45,0.486,4.05,0.738108059,1.30734,21.9616,0.9748,-0.0374,0.0374,,,OS,1.333333333,0.375,0.2,1,0,SR,0,1,44.97695956,37.54214007,567.87857,23.04554
ARR-76,Arànser Right,,42.421993,1.643947,1849,47.13333333,4.057777778,0.880134565,,16.738,1.675,205,90,85,85,1.56825,8.705,0.749880764,4.2185925,21.9616,0.9748,5.2236,5.2236,,,OS,2.277777778,0.414634146,0.4,1,0.6,SA,0.5,0,49.94362238,40.49498689,515.53434,24.66736
ARR-77,Arànser Right,,42.422143,1.644478,1857,46.33333333,3.155555556,0.696419825,,17.488,1.674,125,105,95,95,1.246875,6.995,0.800900105,3.35409375,21.9616,0.9748,4.4736,4.4736,,,OS,1.19047619,0.76,0.2,1,0.2,SA,0.25,0,25.96071984,17.14530357,477.69646,25.24225
ARR-78,Arànser Right,,42.422025,1.645149,1851,41.7,3.073333333,0.686252967,,22.104,1.679,115,105,85,85,1.026375,6.155,0.799453934,2.76094875,21.9616,0.9748,-0.1424,0.1424,,,OS,1.095238095,0.739130435,0.2,1,0.2,SA,0.25,0,28.53435613,21.69910468,421.04602,24.59423
ARR-79,Arànser Right,,42.421836,1.645907,1840,41.8,3.653333333,0.786946699,,21.999,1.678,120,80,70,80,0.672,4.72,0.786058692,1.80768,21.9616,0.9748,-0.0374,0.0374,,,OS,1.5,0.583333333,0.2,1,0,R,0,0,39.38704014,32.49509712,355.26319,23.46487
ARR-80,Arànser Right,,42.421806,1.646443,1839,62.5,4.233333333,0.932823259,,4.377,1.716,115,110,35,35,0.44275,4.105,0.684347486,1.1909975,21.9616,0.9748,17.5846,17.5846,,,OS,1.045454545,0.304347826,0.2,1,0.4,SR,0.25,0,34.09769673,23.14154735,312.31618,22.65713
ARR-81,Arànser Right,,42.421695,1.646919,1832,46,3.8,0.838148566,,17.804,1.674,440,215,170,215,16.082,41.19,0.748030038,43.26058,21.9616,0.9748,4.1576,4.1576,,,OS,2.046511628,0.386363636,0.4,1,0.2,SR,0.25,0,32.09774089,22.00320275,271.20893,23.54081
ARR-82,Arànser Right,,42.422494,1.646719,1832,40.86666667,3.866666667,0.81019625,,22.988,1.681,180,150,85,150,2.295,11.01,0.764220351,6.17355,21.9616,0.9748,-1.0264,1.0264,,,IS,1.2,0.472222222,0.2,1,0.2,SA,0.5,0,45.4768233,37.96038343,325.31903,20.84789
ARR-83,Arànser Right,,42.422738,1.646034,1833,42.33333333,3.533333333,0.76635852,,21.443,1.677,110,45,35,35,0.17325,2.075,0.724293941,0.4660425,21.9616,0.9748,0.5186,0.5186,,,IS,2.444444444,0.318181818,0.6,1,0.4,SA,0.25,0,60.59409184,55.04882339,387.51121,21.74497
ARR-84,Arànser Right,,42.422882,1.645301,1835,41.36666667,3.082222222,0.686804884,,22.455,1.679,120,105,50,50,0.63,4.77,0.745062625,1.6947,21.9616,0.9748,-0.4934,0.4934,,,IS,1.142857143,0.416666667,0.8,1,0,SR,0,0,67.32399558,63.35626332,447.55619,23.37136
ARR-85,Arànser Right,,42.422966,1.644752,1839,41.66666667,3.755555556,0.842657197,,22.139,1.679,240,130,85,85,2.652,12.53,0.739461215,7.13388,21.9616,0.9748,-0.1774,0.1774,,,IS,1.846153846,0.354166667,0.2,1,0,SA,0.5,0,68.00464889,64.41111734,491.64057,23.82395
ARR-86,Arànser Right,,42.42314,1.644226,1842,42.76666667,3.166666667,0.661856505,,20.997,1.677,120,70,55,55,0.462,3.77,0.76660343,1.24278,21.9616,0.9748,0.9646,0.9646,,,IS,1.714285714,0.458333333,0.4,1,0,SA,0.5,0,79.4706229,72.58467367,538.97972,25.1183
ARR-87,Arànser Right,,42.423248,1.643458,1855,42.1,3.24,0.701326446,,21.685,1.678,200,125,105,105,2.625,11.825,0.778220225,7.06125,21.9616,0.9748,0.2766,0.2766,,,IS,1.6,0.525,0.4,1,0,SR,0.25,0,69.84733001,65.28623199,600.87333,22.49439
ARR-88,Arànser Right,,42.423157,1.642633,1868,44.5,3.6,0.851269088,,19.257,1.675,140,100,90,100,1.26,7.12,0.792351396,3.3894,21.9616,0.9748,2.7046,2.7046,,,IS,1.4,0.642857143,1,1,0.4,SA,0.25,0,48.68293381,45.06094351,658.75022,26.59648
ARR-89,Arànser Right,,42.423341,1.642204,1867,41.63333333,3.857777778,0.823762105,,22.174,1.679,150,80,55,55,0.66,4.93,0.743589352,1.7754,21.9616,0.9748,-0.2124,0.2124,,,IS,1.875,0.366666667,0.2,1,0,A,0,0,61.24162792,55.83742938,699.23371,28.77399
ARR-90,Arànser Right,,42.423492,1.641277,1886,40.6,2.28,0.587071999,,23.275,1.681,150,60,55,55,0.495,4.11,0.736284688,1.33155,21.9616,0.9748,-1.3134,1.3134,,,IS,2.5,0.366666667,0.6,1,0.2,SA,0.25,0,46.68231853,42.69321098,776.19479,24.09107
ARR-91,Arànser Right,,42.42381,1.640735,1887,41.26666667,2.306666667,0.545590599,,22.561,1.68,85,70,50,50,0.2975,2.74,0.786547355,0.800275,21.9616,0.9748,-0.5994,0.5994,,,IS,1.214285714,0.588235294,0.6,1,0,SA,0.25,0,55.80258095,48.69071101,830.85254,20.24813
ARR-92,Arànser Right,,42.424054,1.640013,1891,41.4,1.8,0.40345795,,22.42,1.679,150,90,70,70,0.945,6.06,0.768480242,2.54205,21.9616,0.9748,-0.4584,0.4584,,,IS,1.666666667,0.466666667,0.8,1,0,SR,0.25,0,52.89474434,47.98685859,896.15304,23.1527
ARR-93,Arànser Right,,42.424345,1.639532,1889,43.5,3.5,0.814417691,,20.252,1.676,70,70,35,35,0.1715,1.96,0.761618473,0.461335,21.9616,0.9748,1.7096,1.7096,,,IS,1,0.5,0.4,1,0,SR,0.25,0,59.89732495,52.97255071,945.30911,22.56988
ARR-94,Arànser Right,,42.424624,1.638797,1898,51.4,3.866666667,0.832159769,,12.942,1.68,105,70,40,40,0.294,2.87,0.745018599,0.79086,21.9616,0.9748,9.0196,9.0196,,,IS,1.5,0.380952381,0.2,1,0,SR,0.25,0,51.73717413,46.08122453,1013.22284,27.45592
ARR-95,Arànser Right,,42.425172,1.63791,1896,41.33333333,2.866666667,0.664684293,,22.49,1.679,110,90,75,90,0.7425,4.98,0.796255455,1.997325,21.9616,0.9748,-0.5284,0.5284,,,IS,1.222222222,0.681818182,0.6,1,0.2,SR,0.25,0,65.42255806,61.3400229,1105.01336,21.5341
ARR-96,Arànser Right,,42.425573,1.636795,1907,55.63333333,3.815555556,0.826517323,,9.475,1.691,129,105,70,70,0.94815,5.985,0.779838495,2.5505235,21.9616,0.9748,12.4866,12.4866,,,IS,1.228571429,0.542635659,0.4,1,0,SR,0.25,0,56.31785562,50.47376703,1207.00112,26.64526
ARR-97,Arànser Right,,42.425955,1.636349,1908,49.56666667,3.957777778,0.857831393,,14.533,1.677,110,105,80,80,0.924,5.75,0.79786778,2.48556,21.9616,0.9748,7.4286,7.4286,,,IS,1.047619048,0.727272727,0.2,1,0,R,0,0,70.47033413,64.79179868,1258.57979,19.68989
ARR-98,Arànser Right,,42.426461,1.635682,1915,57.13333333,3.817777778,0.819958563,,8.31,1.695,260,170,90,90,3.978,16.58,0.73227822,10.70082,21.9616,0.9748,13.6516,13.6516,,,IS,1.529411765,0.346153846,0.4,1,0,SR,0.25,0,84.1354799,78.11224289,1333.03068,15.44181
ARR-99,Arànser Right,,42.422097,1.642838,1857,47.2,3.826666667,0.857455863,,16.676,1.675,100,75,45,45,0.3375,3.075,0.762350792,0.907875,21.9616,0.9748,5.2856,5.2856,,,OS,1.333333333,0.45,0.2,1,0,SR,0.25,0,65.81472794,58.86120058,606.99058,23.69442
ARR-100,Arànser Right,,42.422138,1.641756,1861,41.93333333,3.346666667,0.756806028,,21.859,1.678,110,80,70,70,0.616,4.42,0.792104225,1.65704,21.9616,0.9748,0.1026,0.1026,,,OS,1.375,0.636363636,0.2,I,0,SA,0.5,0,77.3926802,70.33744176,695.09533,25.70055
ARR-101,Arànser Right,,42.422473,1.641153,1875,41.8,3.546666667,0.795566307,,21.999,1.678,100,95,70,70,0.665,4.63,0.795763894,1.78885,21.9616,0.9748,-0.0374,0.0374,,,OS,1.052631579,0.7,0.2,1,0,R,0,0,56.74619951,51.55895772,751.57158,22.11429
ARR-102,Arànser Right,,42.422672,1.640431,1876,51.43333333,2.528888889,0.621099758,,12.914,1.68,135,90,70,70,0.8505,5.58,0.777975889,2.287845,21.9616,0.9748,9.0476,9.0476,,,OS,1.5,0.518518519,0.2,1,0,SR,0.25,0,66.87900338,60.37686407,814.48565,20.61137
ARR-103,Arànser Right,,42.423012,1.639537,1881,55.8,3.546666667,0.776769609,,9.344,1.691,110,70,60,70,0.462,3.7,0.781106738,1.24278,21.9616,0.9748,12.6176,12.6176,,,OS,1.571428571,0.545454545,0,1,0,R,0.25,0.5,66.7373915,60.24943657,895.28239,25.16628
ARR-104,Arànser Right,,42.423166,1.638828,1877,64.16666667,3.233333333,0.704130254,,3.224,1.723,205,130,105,130,2.79825,12.365,0.776630327,7.5272925,21.9616,0.9748,18.7376,18.7376,,,OS,1.576923077,0.512195122,0.2,I,0,R,0.5,0,82.30022788,74.45131572,956.01535,22.38099
ARR-105,Arànser Right,,42.423557,1.638382,1889,41.93333333,3.386666667,0.762790355,,21.859,1.678,120,80,50,50,0.48,3.92,0.756296718,1.2912,21.9616,0.9748,0.1026,0.1026,,,OS,1.5,0.416666667,0.2,1,0,A,0.25,0.5,64.81658753,58.18231355,1003.38625,22.00846
ARR-106,Arànser Right,,42.423839,1.637854,1893,43.23333333,3.7,0.797397849,,20.522,1.676,75,45,40,45,0.135,1.635,0.778375002,0.36315,21.9616,0.9748,1.4396,1.4396,,,OS,1.666666667,0.533333333,0.2,1,0,SA,0,0,65.0641958,56.16484961,1054.33148,23.30116
ARR-107,Arànser Right,,42.424147,1.637276,1901,49.96666667,4.042222222,0.917753615,,14.181,1.677,85,50,45,45,0.19125,2.065,0.777377019,0.5144625,21.9616,0.9748,7.7806,7.7806,,,OS,1.7,0.529411765,0.2,1,0,SA,0.25,0.5,59.69169018,54.46893913,1110.31117,23.22062
ARR-108,Arànser Right,,42.424401,1.636687,1906,43.13333333,3.257777778,0.750471129,,20.623,1.676,90,50,50,50,0.225,2.3,0.777817961,0.60525,21.9616,0.9748,1.3386,1.3386,,,OS,1.8,0.555555556,0.2,1,0,SA,0,0.5,57.53235195,51.76723846,1165.37775,19.26625
ARR-109,Arànser Right,,42.428495,1.631103,1986,42.3,3.366666667,0.763113166,,21.478,1.677,90,85,65,65,0.49725,3.805,0.797711754,1.3376025,21.9616,0.9748,0.4836,0.4836,,,IS,1.058823529,0.722222222,0.2,1,0,SA,0.25,0,66.55307398,59.29639179,1771.8373,15.52536
